alpha threshold K result fcmodel bits time

0.1 4 4 1 1 6410.13 2.06393

0.1 4 5 1 1 7086.89 2.69659

0.1 4 6 1 1 7910.15 2.82868

0.1 4 7 1 1 8638.02 3.19714

0.1 4 8 1 1 9166.2 3.51844

0.1 4 9 0 1 9514.64 3.72566

0.1 4 10 0 1 9514.84 4.06848

0.2 4 4 1 1 6571.54 2.10698

0.2 4 5 1 1 7332.18 2.4593

0.2 4 6 1 1 8148.14 2.89615

0.2 4 7 1 1 8837.89 3.29799

0.2 4 8 1 1 9324.42 3.49109

0.2 4 9 0 1 9516.77 4.3832

0.2 4 10 0 1 9516.23 4.29823

0.3 4 4 1 1 6718.87 2.21593

0.3 4 5 1 1 7523.11 2.96715

0.3 4 6 1 1 8323.67 2.90735

0.3 4 7 1 1 8979.29 3.33962

0.3 4 8 1 1 9431.53 3.35687

0.3 4 9 0 1 9517.99 3.60123

0.3 4 10 0 1 9517.01 3.82948

0.4 4 4 1 1 6846.36 1.96363

0.4 4 5 1 1 7676.5 2.82804

0.4 4 6 1 1 8460.16 3.55495

0.4 4 7 1 1 9086.45 3.32003

0.4 4 8 1 1 9510.69 3.50714

0.4 4 9 0 1 9518.85 3.66616

0.4 4 10 0 1 9517.59 3.81039

0.5 4 4 1 1 6957.62 2.00345

0.5 4 5 1 1 7804.01 2.30049

0.5 4 6 1 1 8570.92 2.72869

0.5 4 7 1 1 9171.75 3.39463

0.5 4 8 0 1 9520.85 3.96811

0.5 4 9 0 1 9519.44 4.17692

0.5 4 10 0 1 9517.97 4.4042

0.6 4 4 1 1 7055.95 2.17294

0.6 4 5 1 1 7912.65 2.30715

0.6 4 6 1 1 8663.51 2.79898

0.6 4 7 1 1 9241.98 3.12899

0.6 4 8 0 1 9521.46 3.76382

0.6 4 9 0 1 9519.91 3.91659

0.6 4 10 0 1 9518.28 4.121

0.7 4 4 1 1 7143.94 1.93159

0.7 4 5 1 1 8007.06 2.62662

0.7 4 6 1 1 8742.68 3.03468

0.7 4 7 1 1 9301.23 3.22575

0.7 4 8 0 1 9521.96 3.7872

0.7 4 9 0 1 9520.29 3.76569

0.7 4 10 0 1 9518.53 4.21453

0.8 4 4 1 1 7223.48 2.47724

0.8 4 5 1 1 8090.33 3.06384

0.8 4 6 1 1 8811.57 2.76513

0.8 4 7 1 1 9352.22 3.52377

0.8 4 8 0 1 9522.39 3.77535

0.8 4 9 0 1 9520.63 3.78267

0.8 4 10 0 1 9518.76 4.08037

0.9 4 4 1 1 7295.99 1.96882

0.9 4 5 1 1 8164.65 2.79914

0.9 4 6 1 1 8872.3 2.95098

0.9 4 7 1 1 9396.7 3.29531

0.9 4 8 0 1 9522.7 3.34587

0.9 4 9 0 1 9520.86 4.14779

0.9 4 10 0 1 9518.91 4.14366

1 4 4 1 1 7362.54 2.23142

1 4 5 1 1 8231.59 2.6566

1 4 6 1 1 8926.42 2.92923

1 4 7 1 1 9435.99 3.5003

1 4 8 0 1 9522.99 3.80451

1 4 9 0 1 9521.08 4.23912

1 4 10 0 1 9519.06 4.21001
