alpha threshold K result fcmodel bits time
0.1 4 4 1 0 3245.62 17.5764
0.1 4 5 1 0 4033.17 15.835
0.1 4 6 1 0 5100.57 14.3071
0.1 4 7 1 0 6279.63 12.4501
0.1 4 8 1 0 7581.11 10.664
0.1 4 9 1 0 8660.39 9.83524
0.1 4 10 1 0 9513.43 9.29973
0.1 5 4 1 0 3384.22 17.9644
0.1 5 5 1 0 3998.07 16.2868
0.1 5 6 1 0 5023.53 15.7385
0.1 5 7 1 0 6156.33 13.0549
0.1 5 8 1 0 7285.45 11.3315
0.1 5 9 1 0 8401.12 11.9593
0.1 5 10 1 0 9294.66 9.82154
0.1 6 4 1 0 3327.17 18.4579
0.1 6 5 1 0 3901.02 16.9292
0.1 6 6 1 0 4726.59 14.7641
0.1 6 7 1 0 5732.83 14.0385
0.1 6 8 1 0 6976.09 12.0957
0.1 6 9 1 0 8129.04 10.4136
0.1 6 10 1 0 9030.33 10.1835
0.1 7 4 1 0 3461.48 18.819
0.1 7 5 1 0 3844.8 17.3198
0.1 7 6 1 0 4833.29 14.6689
0.1 7 7 1 0 5632.04 13.2876
0.1 7 8 1 0 6737.83 12.4658
0.1 7 9 1 0 7915.67 10.879
0.1 7 10 1 0 8827.38 10.1991
0.1 8 4 1 0 3446.71 19.339
0.1 8 5 1 0 3950.56 18.9477
0.1 8 6 1 0 4822.82 14.7355
0.1 8 7 1 0 5588.29 13.3463
0.1 8 8 1 0 6575.75 12.6607
0.1 8 9 1 0 7682.69 11.318
0.1 8 10 1 0 8649.6 11.0655
0.1 9 4 1 0 3483.06 19.7993
0.1 9 5 1 0 3971.76 17.0618
0.1 9 6 1 0 4572.68 15.0549
0.1 9 7 1 0 5267.05 13.8563
0.1 9 8 1 0 6397.83 13.6471
0.1 9 9 1 0 7445.6 13.299
0.1 9 10 1 0 8368.87 11.7066
0.1 10 4 1 0 3541.41 19.4084
0.1 10 5 1 0 4036.12 16.3862
0.1 10 6 1 0 4615.91 14.3868
0.1 10 7 1 0 5266.07 13.4272
0.1 10 8 1 0 6277.74 12.335
0.1 10 9 1 0 7397.18 11.1892
0.1 10 10 1 0 8303.85 10.7632
0.2 4 4 1 0 3065.99 17.711
0.2 4 5 1 0 3914.06 15.7375
0.2 4 6 1 0 5009.88 13.8164
0.2 4 7 1 0 6212.98 11.2677
0.2 4 8 1 0 7476.91 10.2897
0.2 4 9 1 0 8624.84 9.54599
0.2 4 10 1 0 9455.41 9.7034
0.2 5 4 1 0 3172.12 17.3206
0.2 5 5 1 0 3893.27 15.3123
0.2 5 6 1 0 4885.25 13.7343
0.2 5 7 1 0 6066.66 11.7333
0.2 5 8 1 0 7167.22 11.9299
0.2 5 9 1 0 8339.36 10.1905
0.2 5 10 1 0 9222.21 9.66026
0.2 6 4 1 0 3128.54 19.2567
0.2 6 5 1 0 3740.8 16.469
0.2 6 6 1 0 4571.05 16.0336
0.2 6 7 1 0 5638.11 12.7235
0.2 6 8 1 0 6847.69 10.9804
0.2 6 9 1 0 8071.97 9.91043
0.2 6 10 1 0 8991.67 9.37641
0.2 7 4 1 0 3159.15 17.6197
0.2 7 5 1 0 3676.25 15.6292
0.2 7 6 1 0 4629.08 13.6521
0.2 7 7 1 0 5495.57 12.4524
0.2 7 8 1 0 6597.32 11.3118
0.2 7 9 1 0 7847.43 10.3152
0.2 7 10 1 0 8747.78 9.73061
0.2 8 4 1 0 3282.57 17.7974
0.2 8 5 1 0 3819.81 15.4605
0.2 8 6 1 0 4621.62 13.8302
0.2 8 7 1 0 5482.57 12.6784
0.2 8 8 1 0 6417.54 12.5327
0.2 8 9 1 0 7601.1 10.6559
0.2 8 10 1 0 8552.66 9.81587
0.2 9 4 1 0 3291.92 18.1433
0.2 9 5 1 0 3763.77 16.2032
0.2 9 6 1 0 4387.73 15.1406
0.2 9 7 1 0 5148.66 12.6136
0.2 9 8 1 0 6260.56 11.3747
0.2 9 9 1 0 7359.81 10.6599
0.2 9 10 1 0 8281.76 10.1971
0.2 10 4 1 0 3363.32 17.955
0.2 10 5 1 0 3856.53 15.7411
0.2 10 6 1 0 4441.35 14.4493
